run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0,1.2006024590163935,0.06909471570258775,14.0,24.98,39.0,13.0,3.1075756537529355,0.023366780493873536,1.1403510131807766,0.17225430224391303,0.048587249754410144,0.6817571328270268,0.007619688773955066,0.022065055964533967,0.023160721012713038,0.01727978606226908,0.0501539914771722,0.05252519892838722,12.000034874337473,12.227139152543772,12.003377339827242,14.0,24.98,0.0,0.25,0.4176657557389839,-0.10774544637098074,-0.17233105656141262,0.2629580275174278,0.2557081219297207,0.18205789511561565,-0.010716426229193651,-0.013289882063661988,0.001643378409808793,0.08380114431743815
1,1.2002518587360598,0.06582022598055935,14.0,24.76,37.0,12.0,3.0075300986333846,0.06336528107022119,1.1434144469270924,0.14552380387408517,0.04669867863775812,0.7203649194669941,0.007532992556684868,0.016304010311416848,0.022835493272575412,0.017317255608884873,0.03761517080548697,0.052497096662054585,11.000031721115864,11.357670630776303,11.003188462932993,14.0,24.76,0.0,0.25,0.44690888012002333,-0.13906412654890432,-0.2038513011038654,0.2723103860984086,0.240347498460357,0.18085210559471768,-0.0015925545613981896,-0.009892324726315564,0.004587682851407082,0.08227541738684688
2,1.1999055863342567,0.05448304344807294,14.0,24.83,36.0,12.0,2.9047609252424786,0.07095470908516084,1.0887030748376656,0.10072773391370116,0.050897690949504575,0.6852722650840914,0.007619947754875482,0.021887551293220956,0.028976852741337378,0.01751715269366247,0.05040896566437321,0.06661484123412793,11.000030054962945,11.186072591048758,11.001982405261156,14.0,24.83,0.0,0.25,0.500293167132705,-0.12397553115110975,-0.21821560470050025,0.22991654554826155,0.2358761859141657,0.16067375477779172,-0.0035113603517072374,-0.0060507157379952135,0.003955579574840132,0.06712661886964347
3,1.1998563073394495,0.04151418297497026,14.0,24.9,35.0,11.0,2.802310052538711,0.10200513713342453,1.0664083350540015,0.06294626865815289,0.05396790746564732,0.6136545685205906,0.006666502727619718,0.010215098736379246,0.01050191703517557,0.015578900120578556,0.024042601732575244,0.02454493708359419,10.000034587427896,10.72091101060092,10.01372146678575,14.0,24.9,0.0,0.25,0.4544816516073839,-0.10680504585696393,-0.2031559634063,0.20562414031348167,0.20090258059482227,0.16576124906866677,-0.003875337911123131,-0.009379480863155147,0.006250612528111538,0.05503470596737705
4,1.2000426912568305,0.032256986394047935,14.0,24.98,34.0,11.0,2.7007702807321716,0.12597976283304005,1.0435141657681695,0.04459038398779636,0.059016807301627706,0.5586494612733982,0.009546942044327192,0.008613920204526733,0.010243764346920405,0.02231017337589964,0.020321992965351525,0.023941738403698683,10.000016334336538,10.93953165333999,10.014412565729838,14.0,24.98,0.0,0.25,0.47591149638997293,-0.11987425953601667,-0.17988479044998765,0.19049006306834854,0.2232548924820518,0.15248033417717408,0.002679252633447451,-0.004485113099917189,0.0007899870423811491,0.05466480723173245
5,1.2001254655493483,0.02602173207298982,14.0,24.74,32.0,10.0,2.6000392920470747,0.1590617471057001,1.042122169515456,0.04471099273533121,0.06328443654891637,0.5093203530452186,0.0049727793511594575,0.011315907057488167,0.009771107407162333,0.011857711854811092,0.027090607284416406,0.02330211514229717,9.000052500476627,9.457118851472625,9.014253197541573,14.0,24.74,0.0,0.25,0.4885242087599601,-0.07511824952748264,-0.17976722543764542,0.19641291540728245,0.2167574418692634,0.18115071779556544,-0.007927661506936072,-0.00845586502516862,0.005652261235565987,0.059161146989416324
6,1.2001934441366573,0.021595488241328797,14.0,24.83,31.0,10.0,2.4976753907559703,0.1818097276459171,1.027228761150747,0.05437765089876097,0.06752966242425842,0.4674922930075925,0.007301650516827466,0.00816885320119861,0.008452507167997654,0.01741095705124164,0.019623464971320375,0.020158303267659564,9.000023586119687,9.80723458828619,9.01904230465401,14.0,24.83,0.0,0.25,0.46209879965407025,-0.1236791320462558,-0.14677700830288343,0.1911805610837467,0.19002434264862206,0.16999385303363038,0.0033507222661964355,-0.01055749206834924,0.003717905789090676,0.050755140419405625
7,1.200259747706422,0.018200784080743444,14.0,24.9,30.0,10.0,2.400689817845731,0.1997037821718476,1.006362270552803,0.06792456187424344,0.0724931880871107,0.4404223564169442,0.012987554563553135,0.009039652776811742,0.013787436973058424,0.030969124634640344,0.021672696766889852,0.03287836009369461,9.000007234385002,9.609961381015019,9.007155524674245,14.0,24.9,0.0,0.25,0.4228058739888754,-0.09062660527917547,-0.13269495415002527,0.18810674155812546,0.18876871145883464,0.14301295400457256,-0.00014364927029860965,-0.00832184215051924,0.0030847291786213274,0.04571425563745173
8,1.2002776136363638,0.015529684765028987,14.0,25.0,29.0,9.0,2.3001181796986603,0.21762568262734566,1.0010781256363226,0.07945872925565145,0.07567019856843367,0.41091197054506085,0.005102811126549932,0.005881360169417662,0.005172712835557376,0.01248090111638301,0.014524881868201672,0.012655366381263796,8.000040395415676,9.173445782231676,8.045185553523032,14.0,25.0,0.0,0.25,0.351856753519148,-0.04860681824333204,-0.06169045456542253,0.1684955105686654,0.15809766803214914,0.12589348928622382,-0.0022660905666167905,-0.006055685020215394,0.0016520392302664217,0.03460165207021319
9,1.2003060747663552,0.013436247430037695,14.0,24.7,27.0,9.0,2.1993714575469907,0.23963254030386444,0.9890194151141884,0.09034604517596047,0.08025975248988713,0.3814970350664256,0.006378983909391668,0.00826369414280119,0.005942997248613825,0.01560227452647038,0.02029069277738781,0.014538929706132731,8.000025074746235,8.545755362149158,8.034228119960538,14.0,24.7,0.0,0.25,0.3416308406545132,-0.060730841078917346,-0.0700981308145244,0.16237385804635268,0.15072711858386353,0.13326366719285596,-0.002414023056171077,-0.008360324517009786,0.002705452082858807,0.033405951967717576
10,1.2002875,0.011984453185424513,14.0,24.8,26.0,8.0,2.0989213218964786,0.2522876240849923,0.98553214141275,0.10024706569957849,0.08333504121407877,0.36195092007594143,0.008735657252863847,0.007333868268604501,0.00663314279385448,0.022082778181558918,0.018580276864772156,0.016768808689027814,7.000011355776133,7.553483372798635,7.02404567840038,14.0,24.8,0.0,0.25,0.31011666633847335,-0.022891666616703367,-0.022225463012431713,0.1556119574340281,0.16269201945868006,0.103689732095484,-0.005260253824268964,-0.0035395922173487326,0.002385431357860486,0.030703446374644287
11,1.2002682339449542,0.010695755291104501,14.0,24.9,25.0,8.0,2.0001957165258895,0.26013195450868737,0.9688766967100453,0.11121345967257446,0.08703554962610684,0.3472823684129943,0.0032087999150390337,0.0035424886166537197,0.00555559921514256,0.008111493632575023,0.00910537203567991,0.014045099175367035,7.000081777513239,9.1287660604495,7.034281289516422,14.0,24.9,0.0,0.25,0.3192541288068292,-0.01802339444877879,-0.043286697223404454,0.15776154340019768,0.1587660478755572,0.09714728101156542,0.0025391843976803746,-0.0030695060434866774,0.0009463341070386214,0.029752824023111517
12,1.2002514204545456,0.009664705254039048,14.0,24.56,23.0,7.0,1.8993264429229428,0.26932314869976004,0.9620696445990882,0.12500222033629604,0.09315711517099401,0.32649393339643795,0.0025491847040679592,0.003067872443093039,0.005210640509202863,0.006737407304893271,0.00818750538068945,0.0137694806208909,6.0001079124482235,8.21241682838043,6.033411600350552,14.0,24.56,0.0,0.25,0.3177670453482499,-0.016530776397496193,-0.030884469705294276,0.1654321862535314,0.17195820114450366,0.1323191236234452,-0.004172906342361008,-0.009050840967285223,0.00816024693812455,0.03720526635815041
