run,tsr,cp,cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0,1.8995093385753632,0.25144781364698804,0.9310739001297106,0.011178767511258226,0.01576715121707562,0.017871000822544402,8.000064455592188,9.411796936127026,8.046992187884598,-3.0,0.0,1.1087871564861584,-0.029497311821106324,-0.04157632827404455,0.03835849915446136,0.029519297126090648,0.012307395046042951,-5.869996505963466e-05,-0.00021824035690898603,3.1357244297491475e-05,0.0012466984247950677
1,1.8998405185804825,0.25216703691308684,0.933776736764421,0.013561082646504114,0.011442980760092864,0.014238658218958127,8.000043803485456,10.711388227400997,8.074053776993223,-2.75,0.0,1.1160016838688114,-0.03019300606529208,-0.03807001015510271,0.03859221702624226,0.028514607114358725,0.013797348109372583,-1.7215079342193772e-05,-0.00021325602361099027,1.0645318880050417e-05,0.0012459850388662208
2,1.8996149630334684,0.25798077406873743,0.9413025730329269,0.007658411800472625,0.02225756446819056,0.02568483235365661,8.000137338531722,8.702912705926702,8.022743641830287,-2.5,0.0,1.1167472271157914,-0.03423025213733723,-0.03281411770801647,0.04205221479407803,0.02929073755993745,0.014245897566143055,-2.6059361518246155e-05,-0.00028366563956039835,-2.2071017872838943e-05,0.0014141653271537893
3,1.899988358852384,0.2568095888154906,0.9374966098340409,0.005426619713780075,0.012639602275835438,0.020514282994984204,8.000273560479274,10.21478047956212,8.035658539886779,-2.25,0.0,1.0586923345592734,-0.03141075640443337,-0.034075604875827704,0.07150757969888534,0.07225883778812216,0.0393349162017915,0.0008822664647641057,-0.00045723096292200384,0.00011195569569468729,0.005938957451621822
4,1.8999272274304644,0.2517618846245634,0.9309057233679267,0.006816642456697975,0.011351810385958474,0.013702867884966918,8.000173367905631,10.756116744267622,8.079963838077452,-2.0,0.0,1.1271990596566652,-0.04167602302522786,-0.03423822349364196,0.05204774885716967,0.040916776040091314,0.024819844582406245,7.210506405515414e-05,-0.0003006877501660789,9.989162692294173e-06,0.0027369461106110265
5,1.8996473514781826,0.25190488228185354,0.9266153750554043,0.009863847199055179,0.01426123992152632,0.02117923015599719,8.000082790546417,9.731646815403222,8.033453932324893,-1.8,0.0,1.119394084051622,-0.05851327733027146,-0.023122647921780065,0.08494025221816434,0.09532698329342588,0.04536249600978674,-0.001606388253658091,-0.0004284983027187698,0.00010948020394614204,0.009176832139195443
6,1.8993790945865325,0.25241293116673286,0.9327118617043157,0.006511722603320821,0.020729026600846065,0.029041800329185935,8.000189951151029,8.811202230984778,8.017788004706073,-1.6,0.0,1.1545489420804198,-0.0766876262805466,-0.03884173391567748,0.09723386384959716,0.12148205655451143,0.07050526042261009,-0.00244293089417561,0.00014085848276215488,0.0002270936671755772,0.014586746666014085
7,1.8993247670500637,0.25113064923473954,0.9322919444329587,0.007006957967495908,0.0113323459155038,0.01767831573219045,8.000164046668,10.763832539837056,8.048023125119258,-1.5,0.0,1.1641819715259294,-0.10473991953388391,-0.05759106188156937,0.11290191034896697,0.13701547839559142,0.08183594846315116,-0.00014062049631670406,0.001023274036786077,1.0083495620074888e-05,0.01924879995524915
8,1.8996978918134904,0.25215381169465867,0.9312691533305829,0.007848588417979602,0.012146245358924413,0.019299774843522303,8.000130765913491,10.40112352545761,8.040289768687542,-1.4,0.0,1.1493286293310423,-0.11244018803199163,-0.04513911299187795,0.1344222403606637,0.13305339452027526,0.08751013089580324,0.0021218603828223625,0.0006244425443427578,9.501973865355852e-05,0.02170798695083792
9,1.8998375202497357,0.24957684359145244,0.9283964917551801,0.011159437999307223,0.018409908238645935,0.027180505279699292,8.000064684423375,9.031555755577884,8.020307754063815,-1.3,0.0,1.126836191946775,-0.10876529934637094,-0.04884633499975225,0.1487881473367043,0.1395773956530186,0.10677912241605421,0.004468240742463434,-0.001064430957068337,0.00028875041895033807,0.026501856142566456
