run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0,1.2002228929924241,0.009400143918004034,14.0,24.56,23.0,7.0,1.8997973603452554,0.25545083323537937,0.9316525108076791,0.1261631606704018,0.09313778992500431,0.30327606741073954,0.004207051122408917,0.002829467093284115,0.006750996271393415,0.0111190946609287,0.007585620826125501,0.01784103523473726,6.000039626951647,8.587916785946364,6.019903059791542,14.0,24.56,-3.0,0.0,1.3413578220453308,-0.03496543564859056,-0.04800853091181737,0.03820537386630001,0.0261144267259612,0.01071975543430994,-7.847405167305349e-05,-0.00015838462075907857,2.769784553958211e-06,0.00112772894701771
1,1.2002189867424242,0.009448421983732448,14.0,24.56,23.0,7.0,1.8988317150712184,0.2560728826016153,0.9300729069183956,0.1257735026554409,0.09288794150660483,0.3048225480890084,0.0023937605008609837,0.0052860185515770835,0.008535641131626873,0.006326626064668343,0.013960883616409217,0.02255812035093292,6.000122368698595,6.750338837726324,6.01244960273033,14.0,24.56,-2.75,0.0,1.3470345990352721,-0.036523674257709485,-0.04841563986885799,0.03982883245742042,0.027002121313166223,0.011938487947170284,2.1574007127900494e-05,-0.00019250600677062494,1.7807227379804707e-05,0.0012284066767834455
2,1.200219696969697,0.009637053351229044,14.0,24.56,23.0,7.0,1.8992881085843292,0.2546683328395909,0.9302719639278807,0.12344890898549275,0.09127119055159641,0.3084656976930511,0.003796691848741194,0.005736766859217771,0.005517915995745277,0.010034528474119944,0.015148071498720168,0.0145817058872437,6.000048649018656,6.637126725395135,6.0297956862419495,14.0,24.56,-2.5,0.0,1.347964016607765,-0.03634043572448277,-0.047037878874107264,0.03780515004576374,0.02793111107937505,0.012051424883595386,4.6491536757175124e-05,-0.0001665098878510362,7.260778173034344e-06,0.0011767491520861461
3,1.2002432528409093,0.009743548699184455,14.0,24.56,23.0,7.0,1.8990640087294681,0.25523119697468305,0.935394045927664,0.12495730649063663,0.09227908950985593,0.31076074326868,0.0037933276000037784,0.0036051638868135356,0.005787068176875252,0.010025636874369581,0.009565623128226852,0.0152931513896099,6.000048730569281,7.610797808641941,6.0270857795447155,14.0,24.56,-2.25,0.0,1.2750881103924923,-0.04746590919168022,-0.045154356270579614,0.07804627246800223,0.07951559762251385,0.04349478321533615,0.0007118845689339091,-0.00033953226786009514,0.0002421927681759661,0.007149486078825769
4,1.2002425426136365,0.009622260563914216,14.0,24.56,23.0,7.0,1.8991921959504694,0.2570231176480423,0.9347868849427827,0.1266301884683662,0.09379586423454425,0.30710834691205485,0.0033205465715928023,0.006851656446713874,0.00865515160638949,0.008776091954784805,0.01808972753783764,0.022874000043068644,6.000063597313021,6.4461758206422255,6.012107199280793,14.0,24.56,-2.0,0.0,1.3572754874620578,-0.05214556669629802,-0.0450584601958153,0.04659927857863911,0.040795053598956355,0.019030643398821805,-0.00011636239621629412,-0.00020466983829832308,0.000180800575896206,0.002224515280057357
5,1.2002222748815168,0.009685061617844593,14.0,24.55,23.0,7.0,1.9002753171507523,0.25798155683192403,0.9399674737338766,0.12678612755816654,0.09397238157026763,0.31214270588850807,0.0028994410347779422,0.005831472765105477,0.008995999089991909,0.007663123592546094,0.015397723281309006,0.023774895676841937,6.000083440787625,6.617204273480076,6.011207804119533,14.0,24.55,-1.8,0.0,1.3353262120558893,-0.07132479854793834,-0.04031611380759865,0.08455786067434024,0.11463754531255979,0.046619227515938944,-0.00019214521302744395,-0.0010445608263848244,-0.0008663999724903926,0.011462351987486236
6,1.2002355587121214,0.009686637122730287,14.0,24.56,23.0,7.0,1.8996299447486518,0.26105004409113186,0.9397383455168113,0.12967591464695685,0.09614994999247896,0.3094859472934059,0.003133215641258664,0.004300829773006754,0.0039655159823868795,0.008280982355954373,0.011375443139405701,0.01047808905423663,6.000071439631537,7.134642335935791,6.057703684488228,14.0,24.56,-1.6,0.0,1.3978863118215512,-0.1126316289189135,-0.041865530404637946,0.12771063720279832,0.16687605007953613,0.08756859881818628,-0.005840104202763917,-0.0008236574782219398,0.0003198046082057829,0.025900670007769105
7,1.2002151135288552,0.00993186143079708,14.0,24.57,23.0,7.0,1.898855429589701,0.2599818970907463,0.9443866155314622,0.12939075869530153,0.09583588395789873,0.3152831814034069,0.0018317699455381042,0.006627410881720593,0.007528482593025735,0.004841302534721457,0.017497649003483325,0.01989606658065958,6.000208976898663,6.476848168118206,6.016004313028854,14.0,24.57,-1.5,0.0,1.3825928926891626,-0.11071002850632378,-0.05726158945380015,0.12302339037835368,0.14525476013427865,0.09805039024456168,-0.0016226588422351758,-0.0002816882744012137,0.001917390897994725,0.023532397261067022
8,1.2002161458333334,0.009914165439945785,14.0,24.56,23.0,7.0,1.8998786317835628,0.25593443954455786,0.9344644544274077,0.12700865537464975,0.09393725637843736,0.31050744731200397,0.002780677059588198,0.004203103694424241,0.005993010459585798,0.007349234213484497,0.011120130867769317,0.015837510321042112,6.0000907109255746,7.188263357746486,6.025258030154421,14.0,24.56,-1.4,0.0,1.3780980109039582,-0.1279199811063639,-0.07523626896032841,0.1455244338836247,0.14902993664583822,0.10463418258766222,0.001197271433283947,0.0006931584952602691,0.0013781978684585354,0.027154933979307794
9,1.2002262073863634,0.009621212881346288,14.0,24.56,23.0,7.0,1.898767071362355,0.25914525703352864,0.9429194048098745,0.12625156536419108,0.09351279566851227,0.31042893359319434,0.0013158332489852302,0.0025730485033534883,0.005950684194581747,0.003477697083449429,0.006947673769543738,0.015725631338109447,6.000404967124888,9.094610950829125,6.025617948834284,14.0,24.56,-1.3,0.0,1.3584263396737475,-0.12035700766974708,-0.06532623111784094,0.19057346999059108,0.17098958632273192,0.12238808881356367,0.00789602494528659,0.0008580928172203601,0.00048398532319432263,0.04024819517631385
